List,List_Date,Title,Author,Weeks_On_List,Rank_This_Week,Publisher,Primary_ISBN_10,Primary_ISBN_13,Description,Average_Rating,Rating Count,Whole_Rating
Combined Print and E-Book Nonfiction,2020-09-27,TOO MUCH AND NEVER ENOUGH,Mary L Trump,9,10,Simon & Schuster,1982141468,9781982141462,The clinical psychologist gives her assessment of events and patterns inside her family and how they shaped President Trump.,3.93,43131,4
Combined Print and E-Book Nonfiction,2020-05-17,UNORTHODOX,Deborah Feldman,9,13,Simon & Schuster,1439187029,9781439187029,A woman breaks free of the Satmar Hasidic community in Brooklyn in which she was raised.,3.91,35752,4
Combined Print and E-Book Nonfiction,2020-08-23,THE NEW JIM CROW,Michelle Alexander,8,10,New Press,1620971933,9781620971932,"A law professor takes aim at the “war on drugs,” mass incarceration and their impact on Black men.",4.48,71937,4
Combined Print and E-Book Nonfiction,2020-01-12,SAM HOUSTON AND THE ALAMO AVENGERS,Brian Kilmeade,8,5,Sentinel,0525540539,9780525540533,"The ""Fox & Friends” host gives an account of the battle against the Mexican Army in 1836.",4.16,2040,4
Combined Print and E-Book Nonfiction,2020-08-09,STAMPED FROM THE BEGINNING,Ibram X Kendi,8,15,Bold Type,1568585985,9781568585987,Winner of the 2016 National Book Award for nonfiction. A look at anti-Black racist ideas and their effect on the course of American history.,4.51,17976,5
Combined Print and E-Book Nonfiction,2020-01-12,TRIGGERED,Donald Trump Jr,8,12,Center Street,154608603X,9781546086031,Forays into politics and views on liberals from the executive vice president of the Trump Organization.,3.95,1879,4
Combined Print and E-Book Nonfiction,2020-01-12,FINDING CHIKA,Mitch Albom,8,10,Harper,0062952390,9780062952394,Lessons learned by the Alboms when they bring a Haitian orphan with a life-threatening illness into their family.,4.45,14042,4
Combined Print and E-Book Nonfiction,2020-03-22,A VERY STABLE GENIUS,Philip Rucker and Carol Leonnig,7,12,Penguin Press,1984877496,9781984877499,The Pulitzer Prize-winning journalists use firsthand accounts to chart patterns of behavior within the Trump administration.,4.03,10864,4
Combined Print and E-Book Nonfiction,2020-01-05,I HEARD YOU PAINT HOUSES,Charles Brandt,7,8,Steerforth,1586422383,9781586422387,"A World War II veteran works for a crime boss and comes into contact with the union boss Jimmy Hoffa. The basis of the movie ""The Irishman.""",4.08,11529,4
Combined Print and E-Book Nonfiction,2020-08-02,THE COLOR OF LAW,Richard Rothstein,7,9,Liveright,1631494538,9781631494536,An examination of the ways in which the government caused residential segregation through racial zoning and other systemic practices.,4.47,13793,4
Combined Print and E-Book Nonfiction,2020-06-07,HIDDEN VALLEY ROAD,Robert Kolker,7,8,Doubleday,038554376X,9780385543767,"From 1945 to 1965, a family in Colorado had 12 children, six of whom went on to develop schizophrenia.",4.16,24276,4
Combined Print and E-Book Nonfiction,2020-05-31,FORTITUDE,Dan Crenshaw,6,13,Grand Central,1538733307,9781538733301,The Texas congressman and former Navy SEAL prescribes ways to overcome adversity.,4.54,2967,5
Combined Print and E-Book Nonfiction,2020-03-15,PROFILES IN CORRUPTION,Peter Schweizer,6,14,Harper,006289790X,9780062897909,The author of “Clinton Cash” gives his evaluations of members of the Democratic Party.,4.25,1231,4
Combined Print and E-Book Nonfiction,2020-01-26,RANGE,David Epstein,6,10,Riverhead,0735214484,9780735214484,"An argument for how generalists excel more than specialists, especially in complex and unpredictable fields.",4.17,22133,4
Combined Print and E-Book Nonfiction,2020-01-12,A WARNING,Anonymous,6,8,Twelve,1538718464,9781538718469,A senior official in the Trump administration offers an assessment of the president and makes a moral appeal.,3.89,9819,4
Combined Print and E-Book Nonfiction,2020-09-27,CASTE,Isabel Wilkerson,6,4,Random House,0593230256,9780593230251,The Pulitzer Prize-winning journalist examines aspects of caste systems across civilizations and reveals a rigid hierarchy in America today.,4.64,7399,5
Combined Print and E-Book Nonfiction,2020-08-16,THE ROOM WHERE IT HAPPENED,John Bolton,6,9,Simon & Schuster,1982148039,9781982148034,The former national security advisor gives his account of the 17 months he spent working for President Trump.,3.12,8415,3
Combined Print and E-Book Nonfiction,2020-09-27,LIVE FREE OR DIE,Sean Hannity,6,6,Threshold Editions,1982149973,9781982149970,The Fox News host offers his assessment on what is at stake in the 2020 election.,4.3,578,4
Combined Print and E-Book Nonfiction,2020-09-13,THE WARMTH OF OTHER SUNS,Isabel Wilkerson,5,12,Vintage,0679763880,9780679763888,"An account of the Great Migration of 1915-70, in which nearly six million African-Americans abandoned the South.",4.39,58426,4
Combined Print and E-Book Nonfiction,2020-08-30,THE TRUTHS WE HOLD,Kamala Harris,5,9,Penguin,0525560734,9780525560739,A memoir by the daughter of immigrants who is now a California senator and the 2020 Democratic candidate for vice president.,3.95,7578,4
Combined Print and E-Book Nonfiction,2020-08-16,BEGIN AGAIN,Eddie S Glaude Jr,5,7,Crown,0525575324,9780525575320,An appraisal of the life and work of James Baldwin and their meaning in relation to the Black Lives Matter movement and the Trump presidency.,4.5,1152,4
Combined Print and E-Book Nonfiction,2020-05-17,FRONT ROW AT THE TRUMP SHOW,Jonathan Karl,5,10,Dutton,1524745626,9781524745622,The ABC News chief White House correspondent gives his perspective on our current president and describes the shifts within their relationship.,4.29,1950,4
Combined Print and E-Book Nonfiction,2020-05-24,THE HOUSE OF KENNEDY,James Patterson and Cynthia Fagen,4,12,"Little, Brown",0316454486,9780316454483,A look at the achievements of the political family and what has been called “the Kennedy curse.”,3.91,4739,4
Combined Print and E-Book Nonfiction,2020-02-09,WHY WE SLEEP,Matthew Walker,4,15,Scribner,1501144324,9781501144325,A neuroscientist uses recent scientific discoveries to explain the functions of sleep and dreams.,4.39,72966,4
Combined Print and E-Book Nonfiction,2020-06-14,PLAGUE OF CORRUPTION,Judy Mikovits and Kent Heckenlively,4,4,Skyhorse,1510752242,9781510752245,The controversial virologist gives her account of her work over nearly four decades.,4.22,589,4
Combined Print and E-Book Nonfiction,2020-01-05,HOW TO,Randall Munroe,3,14,Riverhead,0525537090,9780525537090,The former NASA roboticist dispenses complex and excessive solutions to common problems.,4.18,8845,4
Combined Print and E-Book Nonfiction,2020-09-27,HOAX,Brian Stelter,3,11,One Signal/Atria,1982142448,9781982142445,The CNN anchor and chief media correspondent examines the inner workings of Fox News and its relationship with President Trump.,4.12,859,4
Combined Print and E-Book Nonfiction,2020-08-23,HOW TO DESTROY AMERICA IN THREE EASY STEPS,Ben Shapiro,3,11,Broadside,006300187X,9780063001879,"The conservative commentator describes what he perceives as threats to American history, ideals and culture.",4.25,1068,4
Combined Print and E-Book Nonfiction,2020-04-05,JOHN ADAMS UNDER FIRE,Dan Abrams and David Fisher,3,15,Hanover Square,1335015922,9781335015921,How the man who became the second president served as the defense lawyer for the British soldiers who stood accused in the Boston Massacre in 1770.,3.77,443,4
Combined Print and E-Book Nonfiction,2020-09-06,IT WAS ALL A LIE,Stuart Stevens,3,14,Knopf,0525658459,9780525658450,The former political campaign strategist evaluates the changes within the Republican Party in the last half-century.,4.27,875,4
Combined Print and E-Book Nonfiction,2020-01-19,MIDNIGHT IN CHERNOBYL,Adam Higginbotham,3,9,Simon & Schuster,1501134647,9781501134647,"An account of the 1986 disaster at the Chernobyl nuclear power plant, based on hundreds of hours of interviews.",4.39,23229,4
Combined Print and E-Book Nonfiction,2020-05-17,MORE MYSELF,Alicia Keys with Michelle Burford,3,14,Flatiron,1250153298,9781250153296,The Grammy Award-winning musician retraces her path to discovering her own worth.,4.19,5867,4
Combined Print and E-Book Nonfiction,2020-09-06,THE ANSWER IS ...,Alex Trebek,3,10,Simon & Schuster,1982157992,9781982157999,Who is the Canadian-American game show host whose pronunciation of the word “genre” has been shared widely on social media?,4.2,4891,4
Combined Print and E-Book Nonfiction,2020-04-12,THE GIFT OF FORGIVENESS,Katherine Schwarzenegger Pratt,3,11,Pamela Dorman,1984878255,9781984878250,"Stories, interviews and reflections on the act of letting go of resentment.",3.73,1925,4
Combined Print and E-Book Nonfiction,2020-03-01,WHY WE'RE POLARIZED,Ezra Klein,3,9,Avid Reader,147670032X,9781476700328,The editor at large and co-founder of Vox offers his take on what causes divisions in America.,4.27,4833,4
Combined Print and E-Book Nonfiction,2020-07-05,WHY ARE ALL THE BLACK KIDS SITTING TOGETHER IN THE CAFETERIA?,Beverly Daniel Tatum,3,7,Basic,0465060684,9780465060689,The president emerita of Spelman College examines whether self-segregation is a problem or a coping strategy.,4.26,16947,4
Combined Print and E-Book Nonfiction,2020-07-12,COUNTDOWN 1945,Chris Wallace with Mitch Weiss,3,11,Avid Reader,1982143347,9781982143343,The Fox News Sunday anchor gives an account of the key people involved in and events leading up to America’s attack on Hiroshima in 1945.,4.28,3125,4
Combined Print and E-Book Nonfiction,2020-05-31,THE LINCOLN CONSPIRACY,Brad Meltzer and Josh Mensch,2,10,Flatiron,1250317479,9781250317476,"How Allan Pinkerton, along with undercover agents, thwarted a lesser-known assassination attempt of Abraham Lincoln in Baltimore in 1861.",4.35,1842,4
Combined Print and E-Book Nonfiction,2020-09-20,HIS TRUTH IS MARCHING ON,Jon Meacham,2,10,Random House,1984855026,9781984855022,"The Pulitzer Prize-winning biographer creates a portrait of Representative John Lewis, the late civil rights leader and congressman for Georgia’s Fifth Congressional District.",4.7,562,5
Combined Print and E-Book Nonfiction,2020-03-15,UNTIL THE END OF TIME,Brian Greene,2,12,Knopf,1524731676,9781524731670,"A physicist gives an overview of how we got here, where we are and directions we might go.",4.02,1285,4
Combined Print and E-Book Nonfiction,2020-09-06,FINDING FREEDOM,Omid Scobie and Carolyn Durand,2,11,Dey St.,0063046105,9780063046108,The Duke and Duchess of Sussex’s journey from courtship to their decision to step away from their royal lives.,3.18,4778,3
Combined Print and E-Book Nonfiction,2020-03-22,UNKNOWN VALOR,Martha MacCallum,2,3,Harper,0062853856,9780062853851,The Fox News anchor weaves stories of combat veterans who fought during World War II.,3.33,3327,3
Combined Print and E-Book Nonfiction,2020-03-01,TO SHAKE THE SLEEPING SELF,Jedidiah Jenkins,2,15,Convergent,1524761400,9781524761400,"The son of conservative Christians cycles from Oregon to Patagonia, reconciling his sexuality with his upbringing.",3.9,9126,4
Combined Print and E-Book Nonfiction,2020-02-09,TIGHTROPE,Nicholas D Kristof and Sheryl WuDunn,2,13,Knopf,0525655085,9780525655084,The Pulitzer Prize-winning authors examine issues affecting working-class Americans.,4.3,4503,4
Combined Print and E-Book Nonfiction,2020-07-05,I'M STILL HERE,Austin Channing Brown,2,11,Convergent,1524760854,9781524760854,A black woman who was given a white man's name by her parents shares her journey to finding her own worth and what stands in the way of racial justice.,4.38,37421,4
Combined Print and E-Book Nonfiction,2020-02-09,RUNNING AGAINST THE DEVIL,Rick Wilson,2,14,Crown Forum,0593137582,9780593137581,The Republican strategist offers his insights on how to potentially defeat President Trump in the upcoming election.,4.19,1131,4
Combined Print and E-Book Nonfiction,2020-03-22,THE HOPE OF GLORY,Jon Meacham,2,9,Convergent,0593236661,9780593236666,The Pulitzer Prize-winning biographer delves into the seven last sayings of Jesus as recorded in the Gospels.,4.1,935,4
Combined Print and E-Book Nonfiction,2020-01-12,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE,Greta Thunberg,2,9,Penguin,014313356X,9780143133568,"Speeches by the Swedish climate activist, including her address to the United Nations.",3.97,14954,4
Combined Print and E-Book Nonfiction,2020-01-05,MOBITUARIES,Mo Rocca and Jonathan Greenberg,2,9,Simon & Schuster,1501197622,9781501197628,The humorist spotlights frequently unnoticed aspects of deceased celebrities and historical figures.,4.09,3500,4
Combined Print and E-Book Nonfiction,2020-03-22,DARK TOWERS,David Enrich,2,15,Custom House,0062878816,9780062878816,The New York Times finance editor traces the history and illicit dealings of Deutsche Bank.,4.02,2423,4
Combined Print and E-Book Nonfiction,2020-09-27,DONALD TRUMP V. THE UNITED STATES,Michael S Schmidt,2,15,Random House,1984854666,9781984854667,The New York Times Washington correspondent details actions by officials who attempted to contain the president.,4.44,334,4
Combined Print and E-Book Nonfiction,2020-08-16,BREATH,James Nestor,2,12,Riverhead,0735213615,9780735213616,A re-examination of a basic biological function and a look at the science behind ancient breathing practices.,4.26,4738,4
Combined Print and E-Book Nonfiction,2020-09-27,MELANIA AND ME,Stephanie Winston Wolkoff,2,7,Gallery,1982151242,9781982151249,The former director of special events at Vogue describes parting ways with the First Lady after being made the scapegoat for inauguration finance irregularities.,3.5,2173,4
Combined Print and E-Book Nonfiction,2020-01-26,BOYS & SEX,Peggy Orenstein,1,13,Harper,0062666975,9780062666970,How young men comprehend cultural forces and navigate sexual and emotional relationships.,4.23,2445,4
Combined Print and E-Book Nonfiction,2020-09-27,DISLOYAL,Michael Cohen,1,1,Skyhorse,1510764690,9781510764699,"An account of President Trump’s business empire, political campaign and presidential administration by his former personal attorney.",4.15,4718,4
Combined Print and E-Book Nonfiction,2020-05-03,ABOUT YOUR FATHER AND OTHER CELEBRITIES I HAVE KNOWN,Peggy Rowe,1,8,Forefront,194867744X,9781948677448,"Stories of living with a minimalist husband, cheering her son’s celebrity and having a late career as a commercial spokesperson.",4.41,1011,4
Combined Print and E-Book Nonfiction,2020-09-27,COMPROMISED,Peter Strzok,1,3,Houghton Mifflin Harcourt,0358237068,9780358237068,The former F.B.I. deputy assistant director of counterintelligence chronicles the investigation into Russia’s election interference and key moments from his career.,4.59,379,5
Combined Print and E-Book Nonfiction,2020-03-29,CAPITAL AND IDEOLOGY,Thomas Piketty,1,12,Belknap,0674980824,9780674980822,An overview of political and economic inequality and a call for a more balanced approach to those systems.,4.28,682,4
Combined Print and E-Book Nonfiction,2020-06-07,AMERICAN CRUSADE,Pete Hegseth,1,11,Center Street,1546098747,9781546098744,"The ""Fox & Friends Weekend"" host gives his take on politics, culture and education.",4.57,203,5
Combined Print and E-Book Nonfiction,2020-09-27,EAT A PEACH,David Chang and Gabe Ulla,1,14,Clarkson Potter,152475921X,9781524759216,A memoir by the chef and founder of Momofuku and the star of the Netflix series “Ugly Delicious.”,4.15,1302,4
Combined Print and E-Book Nonfiction,2020-02-02,AMERICAN OLIGARCHS,Andrea Bernstein,1,14,Norton,1324001879,9781324001874,An investigative journalist traces the proliferation of the Trump and Kushner dynasties,4.27,712,4
Combined Print and E-Book Nonfiction,2020-04-26,ARGUING WITH SOCIALISTS,Glenn Beck,1,9,Threshold Editions,198214050X,9781982140502,The conservative commentator espouses free-market capitalism.,4.32,252,4
Combined Print and E-Book Nonfiction,2020-05-17,DON'T BURN THIS BOOK,Dave Rubin,1,12,Sentinel,0593084292,9780593084298,The internet show host explains why he moved away from progressive politics.,3.62,1657,4
Combined Print and E-Book Nonfiction,2020-08-30,EVIL GENIUSES,Kurt Andersen,1,8,Random House,1984801341,9781984801340,"The author of “Fantasyland” looks at the economic, cultural and political forces to which he ascribes the undermining and dismantling of the American middle class.",4.37,289,4
Combined Print and E-Book Nonfiction,2020-09-27,EVERYTHING BEAUTIFUL IN ITS TIME,Jenna Bush Hager,1,5,Morrow,0062960628,9780062960627,Essays by the former first daughter and granddaughter celebrating the lives of her grandparents.,4.43,1087,4
Combined Print and E-Book Nonfiction,2020-04-05,DEADLIEST ENEMY,Michael T Osterholm and Mark Olshaker,1,14,"Little, Brown",0316343684,9780316343688,How epidemics and pandemics can disrupt everyday life and world order.,4.38,1923,4
Combined Print and E-Book Nonfiction,2020-03-08,YOU NEVER FORGET YOUR FIRST,Alexis Coe,1,15,Viking,0735224102,9780735224100,A newly researched biography of George Washington.,3.8,4937,4
Combined Print and E-Book Nonfiction,2020-06-14,HOLLYWOOD PARK,Mikel Jollett,1,12,Celadon,1250621569,9781250621566,The musician and author retraces his time growing up in an experimental commune and the difficulties he encountered after escaping it.,4.31,4244,4
Combined Print and E-Book Nonfiction,2020-04-19,THE FIRST TIME,Colton Underwood,1,5,Gallery,1982139382,9781982139384,A memoir by a former N.F.L. player and reality TV star of “The Bachelor” and “The Bachelorette.”,3.47,1965,3
Combined Print and E-Book Nonfiction,2020-02-09,WHY WE CAN'T SLEEP,Ada Calhoun,1,11,Grove,0802147852,9780802147851,The cultural and political contexts of the crises that Generation X women face.,3.74,4335,4
Combined Print and E-Book Nonfiction,2020-02-23,WHEN TIME STOPPED,Ariana Neumann,1,12,Scribner,1982106379,9781982106379,The daughter of a man who created a false identity to escape Nazi-occupied Prague uncovers his difficult past.,4.36,2409,4
Combined Print and E-Book Nonfiction,2020-08-09,WALKING WITH THE WIND,John Lewis and Michael D'Orso,1,14,Simon & Schuster,1476797714,9781476797717,A memoir by the recently deceased leader in the American civil rights movement and representative for Georgia’s Fifth Congressional District.,4.54,2582,5
Combined Print and E-Book Nonfiction,2020-09-13,VESPER FLIGHTS,Helen Macdonald,1,14,Grove,0802128815,9780802128812,"A collection of observational essays by the nature writer on themes of captivity, immigration and freedom.",4.2,542,4
Combined Print and E-Book Nonfiction,2020-02-02,UNCANNY VALLEY,Anna Wiener,1,7,"MCD/Farrar, Straus & Giroux",0374278016,9780374278014,A millennial’s memoir is interwoven with a look at changes within Silicon Valley.,3.69,12485,4
Combined Print and E-Book Nonfiction,2020-03-08,UN-TRUMPING AMERICA,Dan Pfeiffer,1,5,Twelve,1538733552,9781538733554,A former senior advisor to President Obama offers suggestions for Democrats.,4.23,1782,4
Combined Print and E-Book Nonfiction,2020-09-20,TWILIGHT OF THE GODS,Ian W Toll,1,9,Norton,039308065X,9780393080650,The third book in the Pacific War trilogy describes the last year of World War II in the Pacific.,4.76,150,5
Combined Print and E-Book Nonfiction,2020-08-09,TWILIGHT OF DEMOCRACY,Anne Applebaum,1,11,Doubleday,0385545800,9780385545808,The Pulitzer Prize–winning historian looks at the rise of nationalism and authoritarianism around the world.,4.08,1495,4
Combined Print and E-Book Nonfiction,2020-08-23,TRUE CRIMES AND MISDEMEANORS,Jeffrey Toobin,1,9,Doubleday,0385536739,9780385536738,"The CNN chief legal analyst weaves a narrative of the Mueller investigation, President Trump’s impeachment and transgressions by key Trump figures.",4.41,387,4
Combined Print and E-Book Nonfiction,2020-06-07,THE WORLD,Richard Haass,1,15,Penguin Press,0399562397,9780399562396,The president of the Council on Foreign Relations examines challenges to the United States from outside its borders.,3.91,571,4
Combined Print and E-Book Nonfiction,2020-05-24,THE RURAL DIARIES,Hilarie Burton Morgan,1,6,HarperOne,0062862758,9780062862754,"The actress starts a family, transplants to a working farm and revitalizes a candy store in Rhinebeck, N.Y.",4.45,5304,4
Combined Print and E-Book Nonfiction,2020-04-12,THE OFFICE,Andy Greene,1,6,Dutton,1524744972,9781524744977,An oral history of the sitcom from its beginnings on the BBC through its nine-season run on American network TV.,4.2,4024,4
Combined Print and E-Book Nonfiction,2020-03-22,THE MAGA DOCTRINE,Charlie Kirk,1,5,Broadside,0062974688,9780062974686,The founder of Turning Point U.S.A. espouses some ideas promulgated by President Trump.,4.09,351,4
Combined Print and E-Book Nonfiction,2020-04-26,THE LAST BOOK ON THE LEFT,"Ben Kissel, Marcus Parks and Henry Zebrowski",1,4,Houghton Mifflin Harcourt,1328566315,9781328566317,A survey of serial killers from the creators of the Last Podcast on the Left.,4.31,2397,4
Combined Print and E-Book Nonfiction,2020-09-20,THE DYNASTY,Jeff Benedict,1,12,Avid Reader/Simon & Schuster,1982134100,9781982134105,The history of the New England Patriots from N.F.L. laughingstock to making 10 trips to the Super Bowl.,4.51,210,5
Combined Print and E-Book Nonfiction,2020-09-20,I HAVE SOMETHING TO TELL YOU,Chasten Buttigieg,1,13,Atria,1982138122,9781982138127,"The educator and advocate describes growing up gay in a small Midwestern town and meeting his husband, Pete.",4.38,825,4
Combined Print and E-Book Nonfiction,2020-06-07,THE CHIFFON TRENCHES,André Leon Talley,1,6,Ballantine,0593129253,9780593129258,A memoir by the former creative director at Vogue and a look at the changes in the fashion industry.,3.84,2532,4
Combined Print and E-Book Nonfiction,2020-02-23,THE BIG GOODBYE,Sam Wasson,1,13,Flatiron,1250301823,9781250301826,"The making of the film ""Chinatown"" and shifts in Hollywood during the 1970s.",4.03,1139,4
Combined Print and E-Book Nonfiction,2020-02-09,THE AGE OF ENTITLEMENT,Christopher Caldwell,1,10,Simon & Schuster,1501106899,9781501106897,"An assessment of some potential social, cultural and economic causes of our current political fissure.",3.94,512,4
Combined Print and E-Book Nonfiction,2020-01-26,SUCCESSFUL AGING,Daniel J Levitin,1,12,Dutton,1524744182,9781524744182,A neuroscientist suggests using resilience strategies as we grow older.,3.83,1055,4
Combined Print and E-Book Nonfiction,2020-09-27,SPEAKING FOR MYSELF,Sarah Huckabee Sanders,1,8,St. Martin's,1250271339,9781250271334,The former White House press secretary shares her perspective on her time working with President Trump,4.56,402,5
Combined Print and E-Book Nonfiction,2020-07-26,SEPARATED,Jacob Soboroff,1,10,Custom House,0062992198,9780062992192,The NBC News correspondent examines the Trump administration’s systematic separation of migrant families at the U.S.-Mexico border and the living conditions of the children in custody.,4.28,688,4
Combined Print and E-Book Nonfiction,2020-04-19,"WOW, NO THANK YOU",Samantha Ir,1,7,Vintage,0525563482,9780525563488,Comedic essays by an author and blogger who splits her time between Hollywood meetings and living in a liberal suburban town in a red state.,3.97,16119,4
Combined Print and E-Book Nonfiction,2020-08-23,MAKE CHANGE,Shaun King,1,6,Houghton Mifflin Harcourt,0358048001,9780358048008,A look at how social movements evolve and ways in which activists can sustain their efforts.,4.5,264,4
Combined Print and E-Book Nonfiction,2020-09-06,LIVE IN LOVE,Lauren Akins with Mark Dagostino,1,8,Ballantine,0593129040,9780593129043,The wife of the country music singer Thomas Rhett describes her mission work and life in the spotlight.,4.54,1572,5
Combined Print and E-Book Nonfiction,2020-04-12,LADY IN WAITING,Anne Glenconner,1,4,Hachette,0306846365,9780306846366,A memoir that provides a look into the royal family by a lady-in-waiting to Princess Margaret.,4.13,10716,4
Combined Print and E-Book Nonfiction,2020-09-27,KILLING CRAZY HORSE,Bill O'Reilly and Martin Dugard,1,2,Holt,1627797041,9781627797047,The ninth book in the conservative commentator’s Killing series focuses on conflicts with Native Americans.,4.29,466,4
Combined Print and E-Book Nonfiction,2020-08-16,INTIMATIONS,Zadie Smith,1,11,Penguin,059329761X,9780593297612,"Six essays exploring topics, such as isolation, compassion and the relationship between time and work, which were considered during an unprecedented situation.",4.19,5625,4
Combined Print and E-Book Nonfiction,2020-05-24,INCOMPARABLE,Brie Bella and Nikki Bella,1,7,Gallery,1501191918,9781501191916,The identical twins and WWE Hall of Famers share some of the challenges they faced.,4.17,1769,4
Combined Print and E-Book Nonfiction,2020-05-10,I'M YOUR HUCKLEBERRY,Val Kilmer,1,8,Simon & Schuster,1982144890,9781982144890,"The actor recalls his career highlights, romances and the toll cancer has taken on his voice.",3.48,1207,3
Combined Print and E-Book Nonfiction,2020-08-02,A VERY PUNCHABLE FACE,Colin Jost,1,11,Crown,1101906324,9781101906323,"Snippets of the “Saturday Night Live” head writer’s life including growing up on Staten Island, performing in rural college cafeterias and competing in a WrestleMania match.",4.26,5570,4
